,name,played,run_bat,50s,100s,batted,out,bowled,wkt_tacken,5_wkt_taken,run_given_bowler,econ,over
0,ds smith,21,467,3,0,21,21,2,0,0,17,0.04833984375,2.5
1,ba parchment,5,82,0,0,5,5,0,0,0,0,0.0,0.0
2,mn samuels,97,2854,12,7,95,86,53,30,0,1503,3.6421377644067583,302.2
3,s chanderpaul,32,1344,10,2,31,23,1,0,0,19,8.847564458847046e-09,4.0
4,rs morton,10,254,1,0,10,9,0,0,0,0,0.0,0.0
5,dj bravo,77,1747,8,1,73,66,73,90,0,2915,6.979871429366063,511.7
6,d ramdin,82,1592,6,2,70,61,0,0,0,0,0.0,0.0
7,djg sammy,103,1695,8,0,93,70,99,59,0,3365,4.047612065987252,696.6
8,r rampaul,56,263,1,0,32,23,56,81,2,2386,6.371972897721241,447.99999999999994
9,dbl powell,16,44,0,0,10,10,16,19,0,651,5.346034851074219,132.0
10,fh edwards,19,53,0,0,13,4,19,19,0,750,7.2685805130004875,122.3
11,sm pollock,5,43,0,0,3,1,5,6,0,131,3.200625,47.0
12,dw steyn,107,278,0,0,46,35,107,174,3,4442,5.038193852888721,922.1000000000001
13,a nel,8,23,0,0,2,2,8,11,0,236,4.79640625,54.5
14,ck langeveldt,15,32,0,0,8,2,15,25,0,690,6.451784667968751,130.2
15,ja morkel,33,443,0,0,24,16,29,19,0,1033,3.170438345889561,173.10000000000005
16,gc smith,64,2170,14,4,64,62,0,0,0,0,0.0,0.0
17,ab de villiers,150,6866,39,18,145,114,4,3,0,103,1.7502735372154632e-12,17.0
18,jh kallis,53,2000,19,2,53,50,42,31,0,1132,0.39088509626647683,218.0
19,jp duminy,163,4098,25,0,149,121,121,52,0,2889,5.637859903600125,526.9000000000001
20,jl ontong,4,67,0,0,3,2,0,0,0,0,0.0,0.0
21,mv boucher,32,441,0,0,28,19,0,0,0,0,0.0,0.0
22,hh gibbs,25,823,4,2,24,24,0,0,0,0,0.0,0.0
23,j botha,50,420,0,0,33,24,49,52,0,1922,3.711470386501543,422.2
24,m morkel,104,238,0,0,47,31,104,165,2,4352,5.586171768571257,868.2
25,je taylor,41,209,0,0,27,24,41,53,0,1856,6.7929421060499315,321.79999999999995
26,s chattergoon,9,180,1,0,8,8,1,0,0,30,0.01671875,7.0
27,pa browne,5,134,0,0,5,4,0,0,0,0,0.0,0.0
28,rn lewis,4,86,0,0,4,3,4,2,0,141,5.3675,26.0
29,m ntini,9,13,0,0,5,2,9,11,0,462,7.1713281250000005,75.0
30,ac gilchrist,9,308,2,1,9,9,0,0,0,0,0.0,0.0
31,ml hayden,8,298,3,0,8,8,0,0,0,0,0.0,0.0
32,rt ponting,78,2676,18,5,78,74,0,0,0,0,0.0,0.0
33,mj clarke,106,3905,28,5,104,90,48,21,0,815,0.008544214337344598,169.29999999999998
34,a symonds,17,412,4,0,16,15,10,9,0,214,6.917642517089844,39.5
35,mek hussey,100,3252,25,1,94,74,4,0,0,68,2.000000000160072,8.0
36,jr hopes,59,1022,3,0,47,40,55,46,0,1802,6.5504349056845275,393.7000000000001
37,b lee,52,408,1,0,33,21,52,83,2,2224,5.398424767203782,443.79999999999995
38,wpujc vaas,15,89,0,0,11,8,15,12,0,492,4.153341064453125,124.0
39,sl malinga,161,465,1,0,95,68,161,246,7,7463,5.334538045786838,1345.9
40,mkdi amerasinghe,6,5,0,0,3,0,6,8,0,302,6.466875,54.0
41,m muralitharan,42,178,0,0,26,13,42,58,1,1748,4.671635818169525,380.1
42,ck kapugedera,64,1222,7,0,57,51,7,2,0,183,0.0018157958984378487,34.0
43,nw bracken,39,52,0,0,15,7,39,54,1,1458,4.5356867006273385,335.6
44,gb hogg,7,85,0,0,5,4,7,8,0,236,4.82859375,54.3
45,mg johnson,109,811,2,0,74,49,109,177,2,4648,4.362864818855126,951.2000000000002
46,wu tharanga,140,3998,19,8,137,126,0,0,0,0,0.0,0.0
47,st jayasuriya,39,1170,4,3,39,39,25,16,0,678,6.99678781310504,128.1
48,kc sangakkara,171,7464,47,18,168,155,0,0,0,0,0.0,0.0
49,dpmd jayawardene,162,4878,32,7,155,144,1,1,0,5,0.0006640625,1.5
50,lpc silva,32,487,4,0,27,24,1,1,0,21,6.258487701416016e-07,4.0
51,tm dilshan,176,6844,32,18,174,161,113,55,0,2747,5.495694633856099,539.7
52,an cook,71,2582,17,4,71,68,0,0,0,0,0.0,0.0
53,p mustard,4,61,0,0,4,4,0,0,0,0,0.0,0.0
54,ir bell,89,2986,16,3,88,82,0,0,0,0,0.0,0.0
55,kp pietersen,61,1836,6,4,58,54,13,5,0,239,0.008019337981835468,45.5
56,pd collingwood,53,1532,8,1,50,43,43,35,0,1188,2.628713133032477,251.6
57,oa shah,35,1088,8,0,33,30,5,1,0,73,5.6032818976044645,13.1
58,rs bopara,90,2149,12,0,85,73,60,30,0,1217,1.7221150924200965,249.1
59,gp swann,66,356,0,0,40,30,64,86,1,2442,5.13271200352688,532.5
60,scj broad,89,372,0,0,51,36,89,135,1,3980,5.46969831601968,750.1
61,rj sidebottom,15,101,0,0,11,7,15,12,0,669,5.836595458984375,128.0
62,jm anderson,99,167,0,0,44,19,99,141,2,4038,5.324207231162829,817.9
63,kd mills,82,744,2,0,57,44,82,112,0,3224,4.017231464100556,658.4
64,cs martin,4,2,0,0,1,0,4,4,0,134,5.51125,27.0
65,jdp oram,37,670,5,0,30,27,37,37,0,1153,5.299939401685405,275.4
66,sb styris,38,955,7,0,35,32,29,17,0,751,4.073557011209487,155.9
67,dl vettori,70,920,1,0,55,40,69,74,0,2434,5.387595782078606,608.5
68,js patel,14,31,0,0,6,2,14,13,0,452,5.3926220703125,93.0
69,jd ryder,38,1212,5,3,38,37,15,9,0,359,0.029692607854958624,59.5
70,bb mccullum,111,3156,19,2,109,105,0,0,0,0,0.0,0.0
71,jm how,22,374,1,0,21,21,0,0,0,0,0.0,0.0
72,lrpl taylor,176,7405,44,19,173,142,2,0,0,17,1.3775324423815615e-40,4.0
73,pg fulton,7,78,0,0,6,5,0,0,0,0,0.0,0.0
74,bj haddin,87,2025,10,2,82,70,0,0,0,0,0.0,0.0
75,sr clark,10,10,0,0,4,2,10,12,0,274,4.0009375,74.1
76,s sreesanth,17,15,0,0,8,4,17,23,0,867,7.419650573730467,128.5
77,i sharma,73,71,0,0,27,15,73,108,0,3408,6.253902404370712,590.5999999999999
78,ik pathan,32,378,0,0,21,17,32,45,1,1549,5.6478860207181425,269.5
79,harbhajan singh,63,376,0,0,39,31,63,82,1,2621,5.7981192860968145,558.0
80,v sehwag,65,2792,11,7,65,63,32,18,0,751,0.949299479250421,140.5
81,yuvraj singh,99,2910,14,6,94,82,70,50,0,2025,1.3080965063124186,400.4
82,sr tendulkar,48,2158,8,7,48,45,7,0,0,76,3.606958794753957,10.9
83,g gambhir,99,3793,25,8,98,91,0,0,0,0,0.0,0.0
84,rg sharma,213,9454,41,33,210,178,34,8,0,476,1.110717271966713e-27,91.5
85,ms dhoni,242,7472,51,6,204,147,2,1,0,31,6.244813738743402e-39,6.0
86,rv uthappa,14,258,2,0,13,11,1,0,0,0,0.0,0.2
87,mf maharoof,28,279,0,0,21,16,28,29,1,1191,6.81104472592473,219.1
88,kmdn kulasekara,136,1157,4,0,102,76,136,157,1,5609,5.904153329036863,1072.5
89,mj mason,3,2,0,0,2,0,3,4,0,159,5.9849999999999985,27.0
90,pa hitchcock,1,11,0,0,1,0,1,0,0,56,8.0,7.0
91,ad mascarenhas,11,124,0,0,7,6,11,7,0,396,5.086728515625,78.0
92,lj wright,41,540,0,0,33,29,32,15,0,823,0.5719954009894354,163.0
93,mm patel,40,42,0,0,16,6,40,50,0,1510,6.546511399215487,302.1
94,p kumar,62,278,1,0,31,20,62,74,0,2623,6.820464122587834,503.8
95,mdk perera,12,142,0,0,11,11,11,13,0,434,7.6013525390625,79.0
96,dr flynn,15,228,0,0,15,14,3,0,0,25,3.6484375,4.0
97,pp chawla,8,16,0,0,4,2,8,7,0,382,5.666875,69.4
98,tamim iqbal,131,4499,31,10,131,122,2,0,0,13,8.283039769306853e-31,0.6
99,junaid siddique,28,694,4,0,28,28,2,0,0,13,4.32133674621582e-06,2.0
100,shahriar nafees,20,367,3,0,20,20,0,0,0,0,0.0,0.0
101,mohammad ashraful,42,875,6,0,42,40,10,0,0,151,1.3240103245045247,21.0
102,shakib al hasan,119,4039,35,5,114,105,119,136,0,4920,5.6971691177368555,1049.9
103,raqibul hasan,33,690,4,0,33,30,0,0,0,0,0.0,0.0
104,dhiman ghosh,10,123,0,0,10,8,0,0,0,0,0.0,0.0
105,mosharraf hossain,4,22,0,0,4,3,4,1,0,123,6.17,25.0
106,abdur razzak,68,375,0,0,50,31,68,77,1,3088,6.413402630916972,600.4
107,shahadat hossain,22,49,0,0,14,5,22,19,0,1080,7.003356528282165,159.5
108,syed rasel,15,22,0,0,9,5,15,9,0,618,6.493092651367188,114.3
109,pl harris,3,0,0,0,0,0,3,3,0,83,2.725,30.0
110,hm amla,167,7269,38,21,165,155,0,0,0,0,0.0,0.0
111,an petersen,16,346,3,0,14,13,1,0,0,7,0.000213623046875,1.0
112,nazimuddin,10,145,0,0,10,10,0,0,0,0,0.0,0.0
113,mashrafe mortaza,112,894,0,0,81,66,112,139,0,4762,6.664674745984861,917.7999999999998
114,farhad reza,12,116,0,0,12,10,11,9,0,354,2.233095703125,57.5
115,salman butt,33,1357,9,4,33,31,2,0,0,32,4.1101127862930297e-07,4.0
116,nasir jamshed,34,1059,6,3,34,32,0,0,0,0,0.0,0.0
117,younis khan,89,2214,11,4,87,85,8,0,0,113,0.26562762260439676,18.1
118,mohammad yousuf,31,819,3,1,29,26,0,0,0,0,0.0,0.0
119,shoaib malik,118,3035,16,3,111,97,77,29,0,1853,8.096109535054758,367.90000000000003
120,misbah-ul-haq,111,3616,31,0,103,83,0,0,0,0,0.0,0.0
121,shahid afridi,129,2517,9,2,117,106,129,156,4,5319,6.439664908438154,1135.5
122,aftab ahmed,10,137,0,0,10,10,1,0,0,21,0.013671875,3.0
123,mahmudullah,133,2916,13,3,124,94,93,43,0,2460,4.167523580742892,447.9
124,kamran akmal,70,1662,6,2,65,61,0,0,0,0,0.0,0.0
125,sohail tanvir,43,268,0,0,30,23,43,48,1,1919,6.026934864165514,345.59999999999997
126,umar gul,79,375,0,0,49,38,79,116,1,3419,6.631725661771197,630.8000000000001
127,iftikhar anjum,20,62,0,0,10,7,20,30,1,872,4.7858947372436536,166.1
128,ml udawatte,3,57,0,0,3,3,0,0,0,0,0.0,0.0
129,sj benn,38,177,0,0,27,21,38,27,0,1633,5.557301436906564,324.5
130,ch gayle,100,3350,17,7,100,98,45,16,0,1077,0.3336891026969717,200.1
131,baw mendis,69,152,0,0,38,23,69,117,1,2940,8.381821076878786,574.6
132,rr sarwan,43,1166,11,0,41,40,3,4,0,114,1.9346771296113727e-10,16.0
133,k weeraratne,2,38,0,0,2,2,2,0,0,60,7.6,8.0
134,bazid khan,2,53,1,0,2,2,0,0,0,0,0.0,0.0
135,fawad alam,32,771,4,1,30,22,8,2,0,228,0.13921891403850167,34.0
136,sohail khan,8,19,0,0,5,5,8,13,1,380,5.9234375,65.6
137,mohammad asif,9,6,0,0,6,3,9,15,0,396,5.5820703125,85.0
138,naumanullah,1,5,0,0,1,1,0,0,0,0,0.0,0.0
139,wahab riaz,71,523,1,0,56,46,71,87,1,3314,6.096796138307125,564.8999999999999
140,dolar mahmud,3,0,0,0,2,2,3,2,0,118,12.4775,11.0
141,alok kapali,12,270,0,1,12,12,10,7,0,289,4.539453125,47.0
142,mushfiqur rahim,136,4530,29,6,133,118,0,0,0,0,0.0,0.0
143,yk pathan,49,729,3,2,36,27,45,32,0,1230,5.983578082963213,217.8
144,sk raina,171,4503,31,3,154,128,91,33,0,1655,7.48140495778971,321.6
145,rp singh,17,52,0,0,6,5,17,17,0,743,6.5864855957031265,124.0
146,tr ambrose,4,9,0,0,4,3,0,0,0,0,0.0,0.0
147,tg southee,134,745,1,0,91,57,133,177,3,6482,6.251001144903842,1164.5
148,jah marshall,1,4,0,0,1,1,0,0,0,0,0.0,0.0
149,gj hopkins,14,227,0,0,14,13,0,0,0,0,0.0,0.0
150,gd elliott,68,1778,10,2,63,52,46,30,0,1011,5.671918078652434,179.6
151,mr gillespie,5,6,0,0,3,0,5,9,0,197,4.846875,45.2
152,ct tremlett,7,15,0,0,6,4,7,7,0,310,6.2174999999999985,60.5
153,se marsh,77,3008,15,9,77,73,0,0,0,0,0.0,0.0
154,sr watson,108,4298,23,9,108,100,90,95,0,2939,2.6920916922563256,580.3
155,cl white,68,1787,11,2,62,51,8,7,0,150,0.02343750000000003,25.4
156,xm marshall,10,87,0,0,10,10,1,0,0,5,0.0390625,0.3
157,ads fletcher,21,299,2,0,21,21,3,0,0,26,2.885,4.4
158,ka pollard,90,2058,8,3,85,79,62,48,0,1814,5.516948289052666,305.59999999999997
159,crd fernando,18,48,0,0,11,5,18,21,0,878,5.922009201049805,152.0
160,sarfaraz ahmed,99,2218,13,1,85,66,0,0,0,0,0.0,0.0
161,l ronchi,70,1187,3,1,60,51,0,0,0,0,0.0,0.0
162,ms gony,1,0,0,0,0,0,1,2,0,65,8.12,8.0
163,pp ojha,17,39,0,0,9,2,16,20,0,617,6.601224975585938,135.6
164,t thushara,30,341,1,0,21,17,30,39,1,1201,5.79604209754616,223.4
165,mansoor amjad,1,5,0,0,1,1,1,1,0,44,5.5,8.0
166,abdur rauf,3,0,0,0,0,0,3,5,0,167,6.675000000000002,27.0
167,saeed ajmal,98,291,0,0,65,44,98,159,2,3670,5.26302718742026,877.2
168,dj hussey,60,1625,14,0,54,48,35,15,0,656,0.6175057509196205,120.5
169,no miller,31,256,1,0,23,13,29,23,0,1092,4.80007832262665,212.9
170,se findlay,6,96,1,0,6,5,0,0,0,0,0.0,0.0
171,v kohli,233,12096,57,46,232,196,46,4,0,636,8.135263716730864e-20,101.7
172,z khan,51,128,0,0,20,19,51,70,0,2246,5.710008974962422,445.8
173,s badrinath,7,79,0,0,6,5,0,0,0,0,0.0,0.0
174,mj prior,40,773,2,0,36,28,0,0,0,0,0.0,0.0
175,a flintoff,12,304,2,0,10,8,12,20,1,435,4.5453466796875,91.4
176,vd philander,20,100,0,0,13,9,20,30,0,723,4.429282703399658,153.5
177,sr patel,32,469,1,0,21,14,29,21,1,1015,6.204904830269515,178.5
178,sj harmison,11,24,0,0,3,2,11,9,0,424,5.489765625,76.0
179,sm warnapura,2,30,0,0,2,2,0,0,0,0,0.0,0.0
180,j mubarak,6,89,0,0,5,4,2,0,0,19,4.25,3.0
181,b geeves,2,10,0,0,2,0,2,3,0,78,4.45,15.0
182,nazmul hossain,9,0,0,0,5,3,8,10,0,320,4.460546875,62.0
183,mehrab hossain jnr,2,1,0,0,2,2,0,0,0,0,0.0,0.0
184,naeem islam,39,658,3,0,37,27,33,26,0,1031,11.166932649504233,202.9
185,imrul kayes,58,1467,9,2,58,58,0,0,0,0,0.0,0.0
186,j louw,2,23,0,0,1,1,2,1,0,95,6.07,16.0
187,cs baugh,17,234,0,0,14,10,0,0,0,0,0.0,0.0
188,bp nash,4,26,0,0,4,3,2,0,0,49,2.825,9.0
189,ls baker,8,13,0,0,4,2,8,9,0,326,7.418749999999998,61.0
190,khurram manzoor,6,186,2,0,6,6,0,0,0,0,0.0,0.0
191,mj guptill,168,6027,31,13,168,155,11,4,0,98,5.2110261008789755e-18,17.7
192,nt broom,33,725,3,1,33,30,0,0,0,0,0.0,0.0
193,ad mathews,187,5289,37,3,168,122,141,105,1,3595,4.669219126412281,772.3999999999999
194,mahbubul alam,2,0,0,0,0,0,2,3,0,67,6.625,10.0
195,rubel hossain,80,85,0,0,39,23,78,100,0,3620,6.278282252153356,615.0
196,bw hilfenhaus,22,29,0,0,11,3,22,27,1,1006,4.087120981216431,186.79999999999998
197,sw tait,13,14,0,0,6,1,13,22,0,547,6.2010546875,109.1
198,nd mckenzie,5,108,1,0,4,4,0,0,0,0,0.0,0.0
199,vb van jaarsveld,2,9,0,0,2,2,0,0,0,0,0.0,0.0
200,da warner,114,4688,17,17,114,112,1,0,0,8,2.5849394142282115e-26,1.0
201,rj harris,19,21,0,0,11,4,19,42,3,792,6.184319915771485,164.10000000000002
202,shoaib akhtar,24,49,0,0,17,8,24,28,0,1078,6.482286193370818,196.0
203,sht kandamby,32,775,5,0,29,24,8,2,0,170,1.2477824592590332,28.0
204,nm hauritz,46,271,1,0,25,11,46,51,0,1791,4.960589814632356,378.2
205,ll tsotsobe,53,55,0,0,20,8,53,91,0,2133,4.246754447357964,447.5
206,wd parnell,53,465,1,0,35,22,53,79,2,2418,5.925730945622443,419.5
207,ie o'brien,7,3,0,0,2,0,7,11,0,345,7.4521875,58.3
208,cj ferguson,28,606,4,0,23,16,0,0,0,0,0.0,0.0
209,l balaji,1,7,0,0,1,1,1,0,0,32,6.4,5.0
210,ra jadeja,149,2044,9,0,103,68,147,174,1,6272,4.552508097476974,1275.8000000000002
211,cd cumming,1,0,0,0,1,1,0,0,0,0,0.0,0.0
212,ig butler,10,78,0,0,7,6,10,13,0,442,6.30955078125,79.0
213,pd mcglashan,3,63,1,0,2,1,0,0,0,0,0.0,0.0
214,ep thompson,1,0,0,0,0,0,1,0,0,42,10.5,4.0
215,aj strauss,45,1625,11,3,45,44,0,0,0,0,0.0,0.0
216,gj batty,3,24,0,0,3,2,2,1,0,72,2.795,13.0
